
195,135,73,38680,92,33,33,4,1283,255,224,162,33,191.74544954495448,131.80145514551455,70.86003600360036,C
173,121,71,36325,13,9,9,9,2541,86,38,3,1056,160.5148539652322,111.67581784479735,65.25504734231752,O
198,143,78,38636,126,76,76,51,1341,36,8,9,23,195.49305,140.6762,77.05515,R
187,146,54,31120,69,33,33,5,6324,9,9,9,2535,157.0477250556542,119.43838014957853,43.395657720303156,C
209,158,92,37830,94,46,46,2,1452,26,7,9,715,201.55381653624022,151.23476760757057,87.24901867640072,R
204,154,91,38790,126,72,72,38,1180,44,2,9,30,201.579,151.467,89.375,R
203,147,88,39141,88,28,28,5,850,255,234,174,9,200.56795,144.490825,86.2556,C
196,154,96,36041,114,71,71,16,2404,15,8,9,1553,184.0438771938597,143.3427171358568,87.81381569078454,C
210,164,105,39050,91,37,37,3,934,255,248,219,16,207.23935,161.06815,102.6639,R
203,140,73,39218,94,50,50,13,746,23,8,9,28,200.84071814362872,138.22874574914982,71.83596719343869,C
203,148,92,38018,124,64,64,28,1964,44,6,9,17,199.0534263356584,143.81514537863447,88.82224555613891,C
201,146,82,39188,101,48,48,2,808,50,1,9,4,198.9649,144.0059,80.3767,C
201,155,96,36368,92,39,39,3,2032,29,7,9,1600,188.5828,143.1872,87.7956,R
193,155,92,39244,92,50,50,10,730,22,8,9,26,191.0456,152.9882,90.44955,C
217,175,115,38496,130,92,92,47,1388,53,18,7,116,213.5055,171.6646,112.3272,R
192,133,67,39109,98,52,52,16,881,255,218,163,5,189.9372671583948,131.22637829728717,65.88858607325916,R
189,146,95,38453,93,45,45,2,1470,27,7,9,75,185.16805840292014,142.02742637131857,91.42082104105205,R
203,148,83,37417,109,51,51,14,1552,17,8,9,1031,194.55865,140.6279,78.41545,C
214,161,91,38207,126,80,80,28,1645,27,7,9,148,209.6891,157.099075,88.105725,C
197,152,95,39444,120,69,69,16,505,22,8,9,51,195.80475,150.768525,93.892975,O
187,133,73,39891,93,45,45,2,104,255,227,169,5,186.7641,132.78295,72.8274,C
194,144,91,39076,91,38,38,3,919,249,229,179,5,191.64045,141.575275,88.9892,O
185,130,65,31642,12,9,9,9,5825,83,47,15,2532,153.34948373709344,107.12490312257806,53.679716992924824,C
191,135,78,38862,114,48,48,1,953,15,8,9,179,188.37748162224332,132.35850377556633,75.85637845676851,R
191,132,72,38677,73,22,22,6,841,16,8,9,467,186.47422783543828,128.23813930223835,69.87602851069151,O
203,152,95,38839,97,54,54,1,1092,46,4,9,69,199.835375,149.0693,92.28545,C
160,103,58,38821,233,189,189,128,748,75,26,6,430,160.4513612840321,103.78046951173779,58.75001875046876,C
194,137,82,38939,90,39,39,3,555,23,8,9,490,190.4608343337335,134.05882352941177,80.00882853141256,C
211,145,71,39327,93,35,35,3,614,255,224,169,47,209.23987196158848,143.40384615384616,70.07107132139642,R
212,146,70,39092,80,32,32,5,898,255,224,174,9,209.04620115502888,143.45818645466136,68.56411410285257,C
217,155,82,39193,128,71,71,16,747,49,5,8,60,215.085925,153.2063,80.65645,R
202,147,82,39082,80,34,34,4,916,255,233,182,2,199.20885,144.4166,80.2188,C
188,133,66,39525,100,55,55,1,413,255,224,163,32,187.14435826870152,132.26690017513135,65.40602952214161,C
197,148,81,38467,99,37,37,3,1512,26,8,9,20,193.21000525013125,143.73409335233382,78.0155253881347,C
184,136,87,33585,81,45,45,13,3420,9,9,9,2995,162.090375,118.710375,74.83275,R
183,133,80,39402,98,45,45,4,583,34,6,9,9,181.7274091113667,131.68862829424413,78.87615642346351,O
195,147,83,38865,99,49,49,1,1083,44,4,9,52,192.2045,144.16075,80.68365,O
214,168,109,36524,127,83,83,36,2278,19,8,9,1198,203.2051,158.36725,101.84765,C
210,160,101,33086,111,67,67,54,3638,25,8,9,3273,185.85651423856788,139.10268270120258,89.19656474235568,C
